domain_name;group
android.clients.google.com;android.clients.google.com
api.parse.com;api.parse.com
mtalk.google.com;mtalk.google.com
push.parse.com;push.parse.com
www.googleapis.com;googleapis.com
play.googleapis.com;play.googleapis.com
cloudconfig.googleapis.com;cloudconfig.googleapis.com
dl.google.com;dl.google.com
id.google.com;dl.google.com
gg.google.com;dl.google.com
2.android.pool.ntp.org;android.pool.ntp.org
alt2-mtalk.google.com;alt-mtalk.google.com
alt3-mtalk.google.com;alt-mtalk.google.com
alt5-mtalk.google.com;alt-mtalk.google.com
alt6-mtalk.google.com;alt-mtalk.google.com
alt8-mtalk.google.com;alt-mtalk.google.com
alt1-mtalk.google.com;alt-mtalk.google.com
alt4-mtalk.google.com;alt-mtalk.google.com
alt7-mtalk.google.com;alt-mtalk.google.com
api.bitcoinaverage.com;api.bitcoinaverage.com
data.flurry.com;data.flurry.com
e.crashlytics.com;e.crashlytics.com
mobileclient.paypal.com;mobileclient.paypal.com
reports.crashlytics.com;reports.crashlytics.com
settings.crashlytics.com;settings.crashlytics.com
www.smartlab.at;smartlab.at
fonts.gstatic.com;fonts.gstatic.com
googleads.g.doubleclick.net;googleads.g.doubleclick.net
googleads4.g.doubleclick.net;googleads.g.doubleclick.net
i.ytimg.com;i.ytimg.com
s.ytimg.com;i.ytimg.com
i1.ytimg.com;i.ytimg.com
s.yimg.com;i.ytimg.com
l.yimg.com;i.ytimg.com
l1.yimg.com;i.ytimg.com
l2.yimg.com;i.ytimg.com
s1.yimg.com;i.ytimg.com
static.doubleclick.net;static.doubleclick.net
www.google.com;google.com
google.com;google.com
www.youtube.com;youtube.com
m.youtube.com;youtube.com
s.youtube.com;youtube.com
youtubei.youtube.com;youtubei.youtube.com
yt3.ggpht.com;yt.ggpht.com
lh3.ggpht.com;yt.ggpht.com
lh4.ggpht.com;yt.ggpht.com
lh5.ggpht.com;yt.ggpht.com
lh6.ggpht.com;yt.ggpht.com
ktp91462.live.ruxit.com;ktp.live.ruxit.com
ssl.google-analytics.com;ssl.google-analytics.com
accounts.google.com;accounts.google.com
accounts.youtube.com;accounts.youtube.com
ad.doubleclick.net;ad.doubleclick.net
adclick.g.doubleclick.net;adclick.g.doubleclick.net
ajax.googleapis.com;ajax.googleapis.com
apis.google.com;apis.google.com
maps.google.com;apis.google.com
books.google.com;books.google.com
tools.google.com;books.google.com
clients2.google.com;clients.google.com
clients3.google.com;clients.google.com
clients4.google.com;clients.google.com
clients1.google.com;clients.google.com
covers.oreillystatic.com;covers.oreillystatic.com
csi.gstatic.com;csi.gstatic.com
ssl.gstatic.com;csi.gstatic.com
fonts.googleapis.com;fonts.googleapis.com
images-eu.ssl-images-amazon.com;images-eu.ssl-images-amazon.com
images-na.ssl-images-amazon.com;images-eu.ssl-images-amazon.com
js-cdn.dynatrace.com;js-cdn.dynatrace.com
khms0.googleapis.com;khms.googleapis.com
lh3.googleusercontent.com;lh.googleusercontent.com
lh4.googleusercontent.com;lh.googleusercontent.com
lh5.googleusercontent.com;lh.googleusercontent.com
lh6.googleusercontent.com;lh.googleusercontent.com
ma.twimg.com;ma.twimg.com
g.twimg.com;ma.twimg.com
maps.googleapis.com;maps.googleapis.com
maps.gstatic.com;maps.gstatic.com
mobile.twitter.com;mobile.twitter.com
myaccount.google.com;myaccount.google.com
pagead2.googlesyndication.com;pagead.googlesyndication.com
payments.google.com;payments.google.com
pbs.twimg.com;pbs.twimg.com
abs-0.twimg.com;pbs.twimg.com
abs.twimg.com;pbs.twimg.com
play.google.com;play.google.com
plus.google.com;play.google.com
pubads.g.doubleclick.net;pubads.g.doubleclick.net
r1---sn-gxqpgpn-h5ql.googlevideo.com;r---sn-gxqpgpn-hql.googlevideo.com
r2---sn-gxqpgpn-h5ql.googlevideo.com;r---sn-gxqpgpn-hql.googlevideo.com
r3---sn-gxqpgpn-h5ql.googlevideo.com;r---sn-gxqpgpn-hql.googlevideo.com
r4---sn-gxqpgpn-h5ql.googlevideo.com;r---sn-gxqpgpn-hql.googlevideo.com
r2---sn-h5q7dner.googlevideo.com;r---sn-hqdner.googlevideo.com
r20---sn-h5q7dney.googlevideo.com;r---sn-hqdner.googlevideo.com
r1---sn-h5q7dne6.googlevideo.com;r---sn-hqdner.googlevideo.com
r5---sn-h5q7dnl7.googlevideo.com;r---sn-hqdner.googlevideo.com
realtimesupport.clients6.google.com;realtimesupport.clients.google.com
