domain_name;group
-;-
empireonline.media;empireonline.media
dejavu.tuinmueble.com.pa;tuinmueble.com.pa
analytics.mercadolibre.com.pa;mercadolibre.com.pa
auth.mercadolibre.com.pa;mercadolibre.com.pa
dejavu.mercadolibre.com.pa;mercadolibre.com.pa
registration.mercadolibre.com.pa;mercadolibre.com.pa
www.mercadolibre.com.pa;mercadolibre.com.pa
articulo.mercadolibre.com.pa;mercadolibre.com.pa
dejavu.tucarro.com.pa;tucarro.com.pa
139.105.9.52.in-addr.arpa;...in-addr.arpa
237.223.52.52.in-addr.arpa;...in-addr.arpa
39.197.33.216.in-addr.arpa;...in-addr.arpa
39.49.225.209.in-addr.arpa;...in-addr.arpa
47.72.8.52.in-addr.arpa;...in-addr.arpa
9.105.6.74.in-addr.arpa;...in-addr.arpa
www.tajawal.sa;tajawal.sa
collector.a.pxi.pub;a.pxi.pub
captcha.cifraclub.cc;cifraclub.cc
rtb-px.content.ad;content.ad
sync-eu.exe.bid;exe.bid
ih.adscale.de;adscale.de
cotads.adscale.de;adscale.de
ums.adtech.de;adtech.de
www.vscom.de;vscom.de
www.strato.de;strato.de
www.econda-monitor.de;econda-monitor.de
games.softgames.de;softgames.de
m.softgames.de;softgames.de
page-controller.softgames.de;softgames.de
dl.taz.de;taz.de
milestone;milestone
ltvu.se;ltvu.se
commons.wikimedia.org;wikimedia.org
login.wikimedia.org;wikimedia.org
upload.wikimedia.org;wikimedia.org
meta.m.wikimedia.org;m.wikimedia.org
commons.m.wikimedia.org;m.wikimedia.org
ak.wikipedia.org;wikipedia.org
es.wikipedia.org;wikipedia.org
pt.wikipedia.org;wikipedia.org
www.wikipedia.org;wikipedia.org
ak.m.wikipedia.org;m.wikipedia.org
es.m.wikipedia.org;m.wikipedia.org
en.m.wikipedia.org;m.wikipedia.org
pt.m.wikipedia.org;m.wikipedia.org
support.mozilla.org;mozilla.org
blog.mozilla.org;mozilla.org
mozilla.org;mozilla.org
www.mozilla.org;mozilla.org
www.decaura.org;decaura.org
dearfcc.org;dearfcc.org
opensource.org;opensource.org
www.apache.org;apache.org
system.data.sqlite.org;data.sqlite.org
act.eff.org;eff.org
anon-stats.eff.org;eff.org
eff.org;eff.org
w2.eff.org;eff.org
www.eff.org;eff.org
www.networkadvertising.org;networkadvertising.org
m.gutenberg.org;gutenberg.org
www.gutenberg.org;gutenberg.org
cdn0.xtramath.org;xtramath.org
en-asl.xtramath.org;xtramath.org
es.xtramath.org;xtramath.org
xtramath.org;xtramath.org
es-es.xtramath.org;xtramath.org
a2k.aill.org;aill.org
hetl.org;hetl.org
smartsupp-widget-161959.c.cdn77.org;c.cdn.org
opds.openedition.org;openedition.org
www.openedition.org;openedition.org
www.narconon.org;narconon.org
lists.ibiblio.org;ibiblio.org
cdn.wfp.org;wfp.org
www.wfp.org;wfp.org
2.android.pool.ntp.org;android.pool.ntp.org
seleniumhq.org;seleniumhq.org
www.seleniumhq.org;seleniumhq.org
eur-ukp.adsrvr.org;adsrvr.org
match.adsrvr.org;adsrvr.org
insight.adsrvr.org;adsrvr.org
data.adsrvr.org;adsrvr.org
bookserver.revues.org;revues.org
cdn.dashjs.org;dashjs.org
creativecommons.org;creativecommons.org
search.creativecommons.org;creativecommons.org
i.creativecommons.org;creativecommons.org
stats.creativecommons.org;creativecommons.org
ccsearch.creativecommons.org;creativecommons.org
nlog-project.org;nlog-project.org
cdn.ampproject.org;ampproject.org
amp-tmz-com.cdn.ampproject.org;cdn.ampproject.org
i-kinja--img-com.cdn.ampproject.org;cdn.ampproject.org
io9-gizmodo-com.cdn.ampproject.org;cdn.ampproject.org
cdn-vox--cdn-com.cdn.ampproject.org;cdn.ampproject.org
m-eonline-com.cdn.ampproject.org;cdn.ampproject.org
mps-nbcuni-com.cdn.ampproject.org;cdn.ampproject.org
www-eonline-com.cdn.ampproject.org;cdn.ampproject.org
www-theverge-com.cdn.ampproject.org;cdn.ampproject.org
amp-cnn-com.cdn.ampproject.org;cdn.ampproject.org
s1-wp-com.cdn.ampproject.org;cdn.ampproject.org
jezebel-com.cdn.ampproject.org;cdn.ampproject.org
media-redadn-es.cdn.ampproject.org;cdn.ampproject.org
redadn-es.cdn.ampproject.org;cdn.ampproject.org
dist.nuget.org;nuget.org
docs.nuget.org;nuget.org
nuget.org;nuget.org
www.nuget.org;nuget.org
blog.nuget.org;nuget.org
dotnet.myget.org;myget.org
arxiv.org;arxiv.org
static.arxiv.org;arxiv.org
www.tensorflow.org;tensorflow.org
tensorflow.org;tensorflow.org
www.connectsafely.org;connectsafely.org
www.511ny.org;ny.org
511ny.org;ny.org
www.wiredsafety.org;wiredsafety.org
a.volvelle.tech;volvelle.tech
api.vizual.ai;vizual.ai
goodphone.mobi;goodphone.mobi
cdn2.inner-active.mobi;inner-active.mobi
cvt.mydas.mobi;mydas.mobi
am.appwalls.mobi;appwalls.mobi
jumpers.mobi;jumpers.mobi
www.jumpers.mobi;jumpers.mobi
um.simpli.fi;simpli.fi
personaly.click;personaly.click
br.app.link;app.link
t.audience.network;audience.network
api2.data.bauermedia.co.uk;data.bauermedia.co.uk
cdn2.data.bauermedia.co.uk;data.bauermedia.co.uk
static.standard.co.uk;standard.co.uk
www.entitytag.co.uk;entitytag.co.uk
assets.guim.co.uk;guim.co.uk
i.guim.co.uk;guim.co.uk
interactive.guim.co.uk;guim.co.uk
media.guim.co.uk;guim.co.uk
pasteup.guim.co.uk;guim.co.uk
polyfill.guim.co.uk;guim.co.uk
j.ophan.co.uk;ophan.co.uk
completion.amazon.co.uk;amazon.co.uk
uid.metadsp.co.uk;metadsp.co.uk
api.nextgen.guardianapps.co.uk;nextgen.guardianapps.co.uk
sc.independent.co.uk;independent.co.uk
static.independent.co.uk;independent.co.uk
www.independent.co.uk;independent.co.uk
apps.ad-x.co.uk;ad-x.co.uk
articulo.mercadolibre.cl;mercadolibre.cl
www.windmaster.cl;windmaster.cl
goo.gl;goo.gl
cluster.ad-serverparc.nl;ad-serverparc.nl
inpagevideo.nl;inpagevideo.nl
www.salesmanago.pl;salesmanago.pl
gahu.hit.gemius.pl;hit.gemius.pl
adsearch.adkontekst.pl;adkontekst.pl
about.riot.im;riot.im
riot.im;riot.im
r.254a.com;a.com
kr.ixiaa.com;ixiaa.com
watch.nba.com;nba.com
smetrics.global.nba.com;global.nba.com
clk.taptica.com;taptica.com
srv6.mobilda.com;mobilda.com
atemda.com;atemda.com
d5p.de17a.com;dea.com
api.recarga.com;recarga.com
fpl.download-descarga.com;download-descarga.com
m1.vivocha.com;vivocha.com
www.vivocha.com;vivocha.com
rt.legolas-media.com;legolas-media.com
x.fidelity-media.com;fidelity-media.com
pixel.admedia.com;admedia.com
click.crunchiemedia.com;crunchiemedia.com
ssum-sec.casalemedia.com;casalemedia.com
as.casalemedia.com;casalemedia.com
dsum-sec.casalemedia.com;casalemedia.com
dsum.casalemedia.com;casalemedia.com
a337.casalemedia.com;casalemedia.com
ssum.casalemedia.com;casalemedia.com
as-sec.casalemedia.com;casalemedia.com
r.casalemedia.com;casalemedia.com
sdk.inlocomedia.com;inlocomedia.com
tracking.inlocomedia.com;inlocomedia.com
apps.developermedia.com;developermedia.com
cdn2.developermedia.com;developermedia.com
cdn1.developermedia.com;developermedia.com
api.bitsmedia.com;bitsmedia.com
ads.lfstmedia.com;lfstmedia.com
auth.voxmedia.com;voxmedia.com
fonts.voxmedia.com;voxmedia.com
optimize-stats.voxmedia.com;voxmedia.com
phonograph2.voxmedia.com;voxmedia.com
cdn.relaymedia.com;relaymedia.com
static.3playmedia.com;playmedia.com
targeting.unrulymedia.com;unrulymedia.com
india.com;india.com
www.kia.com;kia.com
www.bancodeimageneskia.com;bancodeimageneskia.com
cs.vdopia.com;vdopia.com
fast.wistia.com;wistia.com
kinja.com;kinja.com
w.usabilla.com;usabilla.com
trc.taboola.com;taboola.com
c2.taboola.com;taboola.com
cdn.taboola.com;taboola.com
nr.taboola.com;taboola.com
15.taboola.com;taboola.com
images.taboola.com;taboola.com
match.taboola.com;taboola.com
www.blog.iberdrola.com;blog.iberdrola.com
www.motorola.com;motorola.com
tacoda.at.atwola.com;at.atwola.com
dx.bigsea.weborama.com;bigsea.weborama.com
css.luisaviaroma.com;luisaviaroma.com
images.luisaviaroma.com;luisaviaroma.com
static.luisaviaroma.com;luisaviaroma.com
www.luisaviaroma.com;luisaviaroma.com
e.visualdna.com;visualdna.com
ev.visualdna.com;visualdna.com
w.visualdna.com;visualdna.com
www.clinicamedicadelisboa.com;clinicamedicadelisboa.com
as00.estara.com;estara.com
addons.opera.com;opera.com
a.quora.com;quora.com
q.quora.com;quora.com
www.quora.com;quora.com
openx.jp.cinarra.com;jp.cinarra.com
bottle.quettra.com;quettra.com
cdnapi.kaltura.com;kaltura.com
px.surveywall-api.survata.com;surveywall-api.survata.com
b1sync.zemanta.com;zemanta.com
ads.p.veruta.com;p.veruta.com
casale-cm.p.veruta.com;p.veruta.com
openx-cm.p.veruta.com;p.veruta.com
s1887277791.t.eloqua.com;t.eloqua.com
s1701211846.t.eloqua.com;t.eloqua.com
s912704989.t.eloqua.com;t.eloqua.com
control.kochava.com;kochava.com
cdns.gigya.com;gigya.com
cdn.gigya.com;gigya.com
accounts.us1.gigya.com;us.gigya.com
cdns.us1.gigya.com;us.gigya.com
gscounters.us1.gigya.com;us.gigya.com
ebooks.prestigioplaza.com;prestigioplaza.com
media.prestigioplaza.com;prestigioplaza.com
click.union.ucweb.com;union.ucweb.com
bh.contextweb.com;contextweb.com
bid.contextweb.com;contextweb.com
newsroom.fb.com;fb.com
es.newsroom.fb.com;newsroom.fb.com
media.admob.com;admob.com
clicks.minimob.com;minimob.com
sync.adotmob.com;adotmob.com
tracker.mtrtb.com;mtrtb.com
delivery.swid.switchadhub.com;swid.switchadhub.com
p.rfihub.com;rfihub.com
20733094p.rfihub.com;rfihub.com
a.rfihub.com;rfihub.com
20769733p.rfihub.com;rfihub.com
20729401p.rfihub.com;rfihub.com
20764015p.rfihub.com;rfihub.com
20636849p.rfihub.com;rfihub.com
20636897p.rfihub.com;rfihub.com
20738914p.rfihub.com;rfihub.com
20769628p.rfihub.com;rfihub.com
appnexus-partners.tremorhub.com;tremorhub.com
partners.tremorhub.com;tremorhub.com
assets-cdn.github.com;github.com
github.com;github.com
ads.mopub.com;mopub.com
mpx.mopub.com;mopub.com
analytics.mopub.com;mopub.com
www.3c71.com;c.com
s.acxiomapac.com;acxiomapac.com
r.nexac.com;nexac.com
e.nexac.com;nexac.com
apps-mod.cnbc.com;cnbc.com
data.cnbc.com;cnbc.com
fm.cnbc.com;cnbc.com
marketdata.cnbc.com;cnbc.com
mps.cnbc.com;cnbc.com
quote.cnbc.com;cnbc.com
quotepa.cnbc.com;cnbc.com
search.cnbc.com;cnbc.com
theplatform.cnbc.com;cnbc.com
