api;cat;type
<android.accounts.AccountAuthenticatorActivity: android.content.ComponentName startService(android.content.Intent)>;ACCOUNT_SETTINGS;SINK
<android.accounts.AccountAuthenticatorActivity: void sendBroadcast(android.content.Intent,java.lang.String)>;ACCOUNT_SETTINGS;SINK
<android.accounts.AccountAuthenticatorActivity: void sendOrderedBroadcast(android.content.Intent,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>;ACCOUNT_SETTINGS;SINK
<android.accounts.AccountAuthenticatorActivity: void setRequestedOrientation(int)>;ACCOUNT_SETTINGS;SINK
<android.accounts.AccountAuthenticatorActivity: void setWallpaper(java.io.InputStream)>;ACCOUNT_SETTINGS;SINK
<android.accounts.AccountManager$AmsTask$Response: void onError(int,java.lang.String)>;ACCOUNT_SETTINGS;SINK
<android.accounts.AccountManager$AmsTask$Response: void onResult(android.os.Bundle)>;ACCOUNT_SETTINGS;SINK
<android.accounts.AccountManager$AmsTask: void set(android.os.Bundle)>;ACCOUNT_SETTINGS;SINK
<android.accounts.AccountManager$GetAuthTokenByTypeAndFeaturesTask$1: void run(android.accounts.AccountManagerFuture)>;ACCOUNT_SETTINGS;SINK
<android.accounts.AccountManager: android.content.Intent newChooseAccountIntent(android.accounts.Account,java.util.ArrayList,java.lang.String[],boolean,java.lang.String,java.lang.String,java.lang.String[],android.os.Bundle)>;ACCOUNT_SETTINGS;SINK
<android.accounts.AccountManager: boolean addAccountExplicitly(android.accounts.Account,java.lang.String,android.os.Bundle)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: boolean addAccount(android.accounts.Account,java.lang.String,android.os.Bundle)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: java.lang.String peekAuthToken(android.accounts.Account,java.lang.String)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: void addAcount(android.accounts.IAccountManagerResponse,java.lang.String,java.lang.String,java.lang.String[],boolean,android.os.Bundle)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: void editProperties(android.accounts.IAccountManagerResponse,java.lang.String,boolean)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: void getAccountsByFeatures(android.accounts.IAccountManagerResponse,java.lang.String,java.lang.String[])>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: void getAuthToken(android.accounts.IAccountManagerResponse,android.accounts.Account,java.lang.String,boolean,boolean,android.os.Bundle)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: void hasFeatures(android.accounts.IAccountManagerResponse,android.accounts.Account,java.lang.String[])>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: void invalidateAuthToken(java.lang.String,java.lang.String)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: void removeAccount(android.accounts.IAccountManagerResponse,android.accounts.Account)>;ACCOUNT_SETTINGS;SINK
<android.accounts.IAccountManager$Stub$Proxy: void setAuthToken(android.accounts.Account,java.lang.String,java.lang.String)>;ACCOUNT_SETTINGS;SINK
