api;cat;type
<android.app.Activity: android.content.ComponentName startService(android.content.Intent)>;INTENT;SINK
<android.app.Activity: boolean bindService(android.content.Intent,android.content.ServiceConnection,int)>;INTENT;SINK
<android.app.Activity: void sendBroadcast(android.content.Intent)>;INTENT;SINK
<android.app.Activity: void sendBroadcast(android.content.Intent,java.lang.String)>;INTENT;SINK
<android.app.Activity: void sendBroadcastAsUser(android.content.Intent,android.os.UserHandle)>;INTENT;SINK
<android.app.Activity: void sendBroadcastAsUser(android.content.Intent,android.os.UserHandle,java.lang.String)>;INTENT;SINK
<android.app.Activity: void sendOrderedBroadcast(android.content.Intent,java.lang.String)>;INTENT;SINK
<android.app.Activity: void sendOrderedBroadcast(android.content.Intent,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void sendOrderedBroadcastAsUser(android.content.Intent,android.os.UserHandle,java.lang.String,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void sendStickyBroadcast(android.content.Intent)>;INTENT;SINK
<android.app.Activity: void sendStickyBroadcastAsUser(android.content.Intent,android.os.UserHandle)>;INTENT;SINK
<android.app.Activity: void sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void sendStickyOrderedBroadcastAsUser(android.content.Intent,android.os.UserHandle,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void setResult(int,android.content.Intent)>;INTENT;SINK
<android.app.Activity: void startActivities(android.content.Intent[])>;INTENT;SINK
<android.app.Activity: void startActivities(android.content.Intent[],android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void startActivity(android.content.Intent)>;INTENT;SINK
<android.app.Activity: void startActivity(android.content.Intent,android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void startActivityForResult(android.content.Intent,int)>;INTENT;SINK
<android.app.Activity: void startActivityForResult(android.content.Intent,int,android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void startActivityFromChild(android.app.Activity,android.content.Intent,int)>;INTENT;SINK
<android.app.Activity: void startActivityFromChild(android.app.Activity,android.content.Intent,int,android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void startActivityFromFragment(android.app.Fragment,android.content.Intent,int)>;INTENT;SINK
<android.app.Activity: void startActivityFromFragment(android.app.Fragment,android.content.Intent,int,android.os.Bundle)>;INTENT;SINK
<android.app.Activity: void startActivityIfNeeded(android.content.Intent,int)>;INTENT;SINK
<android.app.Activity: void startActivityIfNeeded(android.content.Intent,int,android.os.Bundle)>;INTENT;SINK
<android.content.ContentResolver: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)>;CONTENT_RESOLVER;SINK
<android.telephony.SmsManager: void sendDataMessage(java.lang.String,java.lang.String,short,byte[],android.app.PendingIntent,android.app.PendingIntent)>;SMS_MMS;SINK
<android.telephony.SmsManager: void sendMultipartTextMessage(java.lang.String,java.lang.String,java.util.ArrayList,java.util.ArrayList,java.util.ArrayList)>;SMS_MMS;SINK
<android.telephony.SmsManager: void sendTextMessage(java.lang.String,java.lang.String,java.lang.String,android.app.PendingIntent,android.app.PendingIntent)>;SMS_MMS;SINK
<android.util.Log: int d(java.lang.String,java.lang.String)>;LOG;SINK
<android.util.Log: int d(java.lang.String,java.lang.String,java.lang.Throwable)>;LOG;SINK
<android.util.Log: int e(java.lang.String,java.lang.String)>;LOG;SINK
<android.util.Log: int e(java.lang.String,java.lang.String,java.lang.Throwable)>;LOG;SINK
<android.util.Log: int i(java.lang.String,java.lang.String)>;LOG;SINK
<android.util.Log: int i(java.lang.String,java.lang.String,java.lang.Throwable)>;LOG;SINK
<android.util.Log: int v(java.lang.String,java.lang.String)>;LOG;SINK
<android.util.Log: int v(java.lang.String,java.lang.String,java.lang.Throwable)>;LOG;SINK
<android.util.Log: int w(java.lang.String,java.lang.String)>;LOG;SINK
<android.util.Log: int w(java.lang.String,java.lang.String,java.lang.Throwable)>;LOG;SINK
<android.util.Log: int w(java.lang.String,java.lang.Throwable)>;LOG;SINK
<android.util.Log: int wtf(java.lang.String,java.lang.String,java.lang.Throwable)>;LOG;SINK
<java.io.FileOutputStream: void write(byte[],int,int)>;FILE;SINK
<org.apache.http.client.HttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;NETWORK;SINK
<org.apache.http.impl.client.DefaultHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;NETWORK;SINK
<android.accounts.AccountManager: android.accounts.Account[] getAccounts()>;ACCOUNT_INFORMATION;SOURCE
<android.bluetooth.BluetoothAdapter: java.lang.String getAddress()>;BLUETOOTH_INFORMATION;SOURCE
<android.content.ContentResolver: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)>;CONTENT_RESOLVER;SOURCE
<android.location.Location: double getLatitude()>;LOCATION_INFORMATION;SOURCE
<android.location.Location: double getLongitude()>;LOCATION_INFORMATION;SOURCE
<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>;LOCATION_INFORMATION;SOURCE
<android.net.wifi.WifiInfo: java.lang.String getMacAddress()>;NETWORK_INFORMATION;SOURCE
<android.net.wifi.WifiInfo: java.lang.String getSSID()>;NETWORK_INFORMATION;SOURCE
<android.telephony.TelephonyManager: java.lang.String getDeviceId()>;UNIQUE_IDENTIFIER;SOURCE
<android.telephony.TelephonyManager: java.lang.String getLine1Number()>;UNIQUE_IDENTIFIER;SOURCE
<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>;UNIQUE_IDENTIFIER;SOURCE
<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>;UNIQUE_IDENTIFIER;SOURCE
<android.telephony.gsm.GsmCellLocation: int getCid()>;LOCATION_INFORMATION;SOURCE
<android.telephony.gsm.GsmCellLocation: int getLac()>;LOCATION_INFORMATION;SOURCE
<java.net.URL: java.net.URLConnection openConnection()>;NETWORK;SOURCE
<java.util.Calendar: java.util.TimeZone getTimeZone()>;CALENDAR_INFORMATION;SOURCE
