cat,signature
ACCOUNT_SETTINGS,boolean android.accounts.IAccountManager$Stub.onTransact(int,Parcel,Parcel,int)
AUDIO,boolean android.media.IAudioService$Stub.onTransact(int,Parcel,Parcel,int)
BLUETOOTH,boolean android.bluetooth.IBluetooth$Stub.onTransact(int,Parcel,Parcel,int)
BLUETOOTH,boolean android.bluetooth.IBluetoothA2dp$Stub.onTransact(int,Parcel,Parcel,int)
BLUETOOTH,boolean android.bluetooth.IBluetoothHeadset$Stub.onTransact(int,Parcel,Parcel,int)
CONTACT_INFORMATION,boolean com.android.internal.telephony.IIccPhoneBook$Stub.onTransact(int,Parcel,Parcel,int)
FILE,FileInputStream android.app.ContextImpl.openFileInput(String)
FILE,FileOutputStream android.app.ContextImpl.openFileOutput(String,int)
FILE,FileOutputStream android.content.ContextWrapper.openFileOutput(String,int)
FILE,ParcelFileDescriptor android.os.ParcelFileDescriptor.open(File,int)
FILE,boolean android.app.ApplicationThreadNative.onTransact(int,Parcel,Parcel,int)
FILE,void android.app.Activity.dump(String,FileDescriptor,PrintWriter,String[])
FILE,void android.media.MediaMetadataRetriever.setDataSource(String)
FILE,void android.media.MediaPlayer.setDataSource(FileDescriptor)
FILE,void java.io.RandomAccessFile.setLength(long)
LOCATION_INFORMATION,boolean android.location.ILocationManager$Stub.onTransact(int,Parcel,Parcel,int)
LOG,void android.app.NotificationManager.notify(String,int,Notification)
NETWORK,LinkCapabilities android.net.LinkCapabilities$1.createFromParcel(Parcel)
NETWORK,boolean android.net.IConnectivityManager$Stub.onTransact(int,Parcel,Parcel,int)
NETWORK,boolean android.net.INetworkPolicyManager$Stub.onTransact(int,Parcel,Parcel,int)
NETWORK,boolean android.net.INetworkStatsService$Stub.onTransact(int,Parcel,Parcel,int)
NETWORK,boolean android.net.IThrottleManager$Stub.onTransact(int,Parcel,Parcel,int)
NETWORK,boolean android.net.sip.ISipService$Stub.onTransact(int,Parcel,Parcel,int)
NETWORK,boolean android.net.sip.ISipSession$Stub.onTransact(int,Parcel,Parcel,int)
NETWORK,boolean android.net.wifi.IWifiManager$Stub.onTransact(int,Parcel,Parcel,int)
NETWORK,boolean android.net.wifi.WifiManager.enableNetwork(int,boolean)
NETWORK,boolean android.net.wifi.p2p.IWifiP2pManager$Stub.onTransact(int,Parcel,Parcel,int)
NETWORK,void android.net.TrafficStats.setThreadStatsTag(int)
NETWORK,void android.net.wifi.p2p.WifiP2pDeviceList.update(WifiP2pDevice)
NFC,boolean android.nfc.INdefPushCallback$Stub.onTransact(int,Parcel,Parcel,int)
NFC,boolean android.nfc.INfcAdapter$Stub.onTransact(int,Parcel,Parcel,int)
NFC,boolean android.nfc.INfcAdapterExtras$Stub.onTransact(int,Parcel,Parcel,int)
NFC,boolean android.nfc.INfcTag$Stub.onTransact(int,Parcel,Parcel,int)
OS_COMMAND,Process java.lang.ProcessBuilder.start()
SCREEN,Toast android.widget.Toast.makeText(Context,CharSequence,int)
SCREEN,Toast android.widget.Toast.makeText(Context,int,int)
SENSITIVE_UNCATEGORIZED,Address android.location.Address$1.createFromParcel(Parcel)
SENSITIVE_UNCATEGORIZED,BigInteger java.math.BigInteger.setBit(int)
