<android.telephony.TelephonyManager: java.lang.String getCompleteVoiceMailNumber()>;CALL_PRIVILEGED
<android.telephony.TelephonyManager: java.lang.String getDeviceId()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getDeviceSoftwareVersion()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getLine1AlphaTag()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getLine1Number()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getMsisdn()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getSimSerialNumber()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getSubscriberId()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getVoiceMailAlphaTag()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getVoiceMailNumber()>;READ_PHONE_STATE
<android.telephony.PhoneStateListener: void onCallStateChanged(int,java.lang.String)>;READ_PHONE_STATE
<android.provider.Telephony$Mms: android.database.Cursor query(android.content.ContentResolver,java.lang.String[])>;RECEIVE_SMS
<android.provider.Telephony$Mms: android.database.Cursor query(android.content.ContentResolver,java.lang.String[],java.lang.String,java.lang.String)>;RECEIVE_SMS
<android.provider.Telephony$Sms$Intents: android.telephony.SmsMessage[] getMessagesFromIntent(android.content.Intent)>;RECEIVE_SMS
<android.provider.Telephony$Sms: android.database.Cursor query(android.content.ContentResolver,java.lang.String[])>;RECEIVE_SMS
<android.provider.Telephony$Sms: android.database.Cursor query(android.content.ContentResolver,java.lang.String[],java.lang.String,java.lang.String)>;RECEIVE_SMS
<android.location.Location: double getLatitude()>;ACCESS_LOCATION
<android.location.Location: double getLongitude()>;ACCESS_LOCATION
<android.location.LocationManager: android.location.Location getLastKnownLocation(java.lang.String)>;ACCESS_LOCATION
<android.location.LocationManager: android.location.Location getLocation(java.lang.String)>;ACCESS_LOCATION
<android.location.LocationManager: android.location.LocationProvider getProvider(java.lang.String)>;ACCESS_LOCATION
<android.location.LocationManager: java.lang.String getBestProvider(android.location.Criteria,boolean)>;ACCESS_LOCATION
<android.location.LocationManager: void requestLocationUpdates(java.lang.String, long, float, android.app.PendingIntent)>;ACCESS_LOCATION
<android.location.LocationManager: void requestLocationUpdates(long, float, android.location.Criteria, android.app.PendingIntent)>;ACCESS_LOCATION
<android.telephony.TelephonyManager: android.telephony.CellLocation getCellLocation()>;ACCESS_LOCATION
<android.media.ExifInterface: boolean getLatLong(float[])>;READ_EXTERNAL_STORAGE
<android.media.ExifInterface: byte[] getThumbnail()>;READ_EXTERNAL_STORAGE
<android.provider.Contacts$People: android.database.Cursor queryGroups(android.content.ContentResolver,long)>;READ_CONTACTS
<android.provider.Contacts$People: android.net.Uri addToGroup(android.content.ContentResolver,long,java.lang.String)>;READ_CONTACTS
<android.provider.Contacts$People: long tryGetMyContactsGroupId(android.content.ContentResolver)>;READ_CONTACTS
<android.provider.Contacts$Settings: java.lang.String getSetting(android.content.ContentResolver,java.lang.String,java.lang.String)>;READ_CONTACTS
<android.provider.ContactsContract$Contacts: java.io.InputStream openContactPhotoInputStream(android.content.ContentResolver,android.net.Uri,boolean)>;READ_CONTACTS
<android.provider.ContactsContract$Groups$EntityIteratorImpl: android.content.Entity getEntityAndIncrementCursor(android.database.Cursor)>;READ_CONTACTS
<android.provider.ContactsContract$RawContacts$EntityIteratorImpl: android.content.Entity getEntityAndIncrementCursor(android.database.Cursor)>;READ_CONTACTS
<android.accounts.AccountManager: android.accounts.AccountManager get(android.content.Context)>;GET_ACCOUNTS
<android.accounts.AccountManager: android.accounts.Account[] getAccounts()>;GET_ACCOUNTS
<android.accounts.AccountManager: android.accounts.Account[] getAccountsByType(java.lang.String)>;GET_ACCOUNTS
<android.provider.Browser: android.database.Cursor getAllVisitedUrls(android.content.ContentResolver)>;READ_HISTORY_BOOKMARKS
<android.provider.Browser: java.lang.String[] getVisitedHistory(android.content.ContentResolver)>;READ_HISTORY_BOOKMARKS
<android.net.ConnectivityManager: android.net.LinkProperties getActiveLinkProperties()>;NP_ACCESS_NETWORK_STATE
<android.net.ConnectivityManager: android.net.LinkProperties getLinkProperties(int)>;NP_ACCESS_NETWORK_STATE
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfo()>;NP_ACCESS_NETWORK_STATE
<android.net.ConnectivityManager: android.net.NetworkInfo getActiveNetworkInfoForUid(int)>;NP_ACCESS_NETWORK_STATE
<android.net.ConnectivityManager: android.net.NetworkInfo getNetworkInfo(int)>;NP_ACCESS_NETWORK_STATE
<android.net.ConnectivityManager: android.net.NetworkInfo[] getAllNetworkInfo()>;NP_ACCESS_NETWORK_STATE
<android.net.ConnectivityManager: android.net.NetworkQuotaInfo getActiveNetworkQuotaInfo()>;NP_ACCESS_NETWORK_STATE
<android.telephony.TelephonyManager: java.util.List getNeighboringCellInfo()>;NP_ACCESS_COARSE_UPDATES
<android.content.pm.PackageManager: java.util.List getInstalledApplications(int)>;NP_PACKAGE_MANAGER
<android.content.pm.PackageManager: java.util.List getInstalledPackages(int)>;NP_PACKAGE_MANAGER
<android.content.pm.PackageManager: java.util.List queryBroadcastReceivers(android.content.Intent,int)>;NP_PACKAGE_MANAGER
<android.content.pm.PackageManager: java.util.List queryContentProviders(java.lang.String,int,int)>;NP_PACKAGE_MANAGER
<android.content.pm.PackageManager: java.util.List queryIntentActivities(android.content.Intent,int)>;NP_PACKAGE_MANAGER
<android.content.pm.PackageManager: java.util.List queryIntentServices(android.content.Intent,int)>;NP_PACKAGE_MANAGER
<android.media.AudioRecord: int read(byte[],int,int)>;RECORD_AUDIO
<android.media.AudioRecord: int read(java.nio.ByteBuffer,int)>;RECORD_AUDIO
<android.media.AudioRecord: int read(short[],int,int)>;RECORD_AUDIO
<java.io.FileInputStream: java.nio.channels.FileChannel getChannel()>;NP_FILE
<java.io.FileOutputStream: java.nio.channels.FileChannel  getChannel()>;NP_FILE
<java.io.RandomAccessFile: java.nio.channels.FileChannel getChannel()>;NP_FILE
<android.content.ContentResolver: java.io.InputStream openInputStream(Uri)>;NP_FILE
<java.io.File: void <init>(java.net.URI)>;NP_FILE
<java.io.FileInputStream: void <init>(java.io.FileDescriptor)>;NP_FILE
<android.os.FileUtils: java.lang.String readTextFile(java.io.File,int,java.lang.String)>;NP_FILE
<android.hardware.SensorManager: float getAltitude(float,float)>;NP_SENSOR
<android.hardware.SensorManager: float getInclination(float[])>;NP_SENSOR
<android.hardware.SensorManager: float[] getOrientation(float[],float[])>;NP_SENSOR
<android.hardware.usb.UsbDevice: int getDeviceId()>;NP_SENSOR
<android.content.ContentResolver: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)>;NP_CONTENT_RESOLVER
<android.content.ContentResolver: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,android.os.CancellationSignal)>;NP_CONTENT_RESOLVER
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String)>;NP_CONTENT_RESOLVER
<android.database.sqlite.SQLiteDatabase: android.database.Cursor query(android.net.Uri,java.lang.String[],java.lang.String,java.lang.String[],java.lang.String,android.os.CancellationSignal)>;NP_CONTENT_RESOLVER
