afzkl/development/mColorPicker,Penroser
android/content/pm,Android Package management
android/opengl,OpenGL
android/support/constraint,Android Support constraint
android/support/design,Android Support Design
android/support/multidex,Multidex
android/support/v13,Android Support v13
android/support/v4,Android Support v4
android/support/v7,Android Support v7
android/widget,android widget
anet/channel,Umeng push
anetwork/channel/aidl,AIDL
anywheresoftware,anywheresoftware
appinventor,Appinventor
appmachine,AppMachine App Generator
au/com/bytecode/opencsv,Opencsv
aurelienribon,AurelienRibon Animation Library
biz/neoline,Neoline
bolts,Bolts Base Library
butterknife,butterknife UI Framework
ch/boye/httpclientandroidlib,httpclientandroidlib
ch/qos/logback,Logback
cn/domob,domob
cn/jiguang,Jiguang
cn/jpush/android,Jpush
cn/sharesdk/evernote,Mob Share Evernote
cn/sharesdk/framework,ShareSDK
cn/sharesdk/onekeyshare,Mob one key share
cn/sharesdk/socialization,mob social
cn/sharesdk/tencent,Mob share to tencent
cn/smssdk,Mob SMS SDK
cn/uc/gamesdk,UC GAME
com/ace/universalimageloader,Universal Image Loader
com/actionbarsherlock,ActionBarSherlock
com/activeandroid,ActiveAndroid
com/adcolony,AdColony
com/adfonic,Adfonic Mobile Ads
com/adjust/sdk,Adjust SDK
com/admob,Google Admob
com/adobe/air,Adobe Air
com/adobe/flashplayer,Adobe FlashPlayer
com/adobe/flashruntime,Adobe FlashPlayer
com/adobe/fre,Adobe Air FRE
com/adobe/plugin,Adobe plugin
com/adobe/xmp,Adobe XMP
com/adsdk,AdSDK
com/adsmogo,adsmogo
com/adtech,Adtech
com/adwhirl,Adwhirl Ads
com/adwo/adsdk,adwo
com/alibaba/fastjson,Fastjson
com/alibaba/mtl,Alibaba MTL
com/alimama/mobile,Alimama Dev
com/alipay,Alipay
com/aliyun,Aliyun
com/amap,Alibaba Amap
com/amazon/ags,Amazon Game Studios
com/amazon/device/ads,Amazon Advertisement
com/amazon/device/associates,Amazon Mobile Associates
com/amazon/device/iap,Amazon In-App Purchasing
com/amazon/identity/auth,Amazon Auth SDK
com/amazon/inapp,Amazon In-App Purchasing
com/amazon/insights,Amazon Analytics
com/amazonaws,Amazon AWS
com/android/dx,Dexmaker
com/android/vending,Google Play
com/android/volley,Volley HTTP library
com/androidplot,Androidplot
com/androidquery,AndroidQuery
com/ansca/corona,Corona
com/anzhi/market,Anzhi Market
com/appbrain,Appbrain SDK
com/appbyme,Appbyme
com/apperhand,apperhand
com/appflood,Appflood
com/applovin,Applovin
com/appmakr,Appmakr
com/appodeal/ads,Appodeal Ads
com/appquanta,Quanta Sky Ino.
com/appquanta/,Qunta Sky Ino.
com/appsflyer,AppsFlyer
com/appyet,Appyet
